"Type","Consumed","ShortType","Vintage","Color","Category","Varietal","Country"
"Red","2.11.2025","Drank","2022","Red","Dry","Cabernet Sauvignon","USA"
"Red","1.11.2025","Drank","2013","Red","Dry","Nebbiolo","Italy"
"White - Sparkling","26.10.2025","Drank","1001","White","Sparkling","Champagne Blend","France"
"White - Sparkling","26.10.2025","Drank","1001","White","Sparkling","Champagne Blend","France"
"White - Sparkling","26.10.2025","Drank","1001","White","Sparkling","Champagne Blend","France"
"Red","25.10.2025","Drank","2020","Red","Dry","Corvina Blend","Italy"
"Red","18.10.2025","Drank","2019","Red","Dry","SuperTuscan Blend","Italy"
"Red","17.10.2025","Drank","2022","Red","Dry","Grenache","France"
"Red","11.10.2025","Drank","2015","Red","Dry","Sangiovese","Italy"
"White","10.10.2025","Cooking","2024","White","Dry","Pinot Grigio","Italy"
"Red","10.10.2025","Drank","2012","Red","Dry","Sangiovese Blend","Italy"
"Red","4.10.2025","Drank","2018","Red","Dry","Red Bordeaux Blend","Bulgaria"
"Red","3.10.2025","Drank","2017","Red","Dry","Pinot Nero","Italy"
"Red","28.9.2025","Drank","2015","Red","Dry","Sangiovese Blend","Italy"
"Red","26.9.2025","Drank","2019","Red","Dry","Pinot Nero","Italy"
"Red","21.9.2025","Drank","2015","Red","Dry","Aglianico","Italy"
"Red","20.9.2025","Drank","2022","Red","Dry","Cabernet Sauvignon","USA"
"Red","19.9.2025","Drank","2015","Red","Dry","Red Bordeaux Blend","France"
"Red","12.9.2025","Drank","2020","Red","Dry","Malbec","Argentina"
"Red","6.9.2025","Drank","2020","Red","Dry","Corvina Blend","Italy"
"Red","5.9.2025","Drank","2019","Red","Dry","Red Rhone Blend","France"
"Red","29.8.2025","Drank","2016","Red","Dry","Sangiovese Blend","Italy"
"Red","22.8.2025","Drank","2015","Red","Dry","Red Bordeaux Blend","Italy"
"Red","18.8.2025","Missing","2018","Red","Dry","Red Bordeaux Blend","Bulgaria"
"Red","16.8.2025","Drank","2018","Red","Dry","Red Bordeaux Blend","Bulgaria"
"Red","15.8.2025","Drank","2018","Red","Dry","Malbec Blend","Argentina"
"Ros�","14.8.2025","Drank","2024","Ros�","Dry","Ros� Blend","France"
"Red","3.8.2025","Drank","2020","Red","Dry","Corvina Blend","Italy"
"Red","1.8.2025","Drank","2020","Red","Dry","Red Bordeaux Blend","France"
"Red","31.7.2025","Drank","2018","Red","Dry","Red Rhone Blend","France"
"Red","30.7.2025","Drank","2016","Red","Dry","Nebbiolo","Italy"
"Red","29.7.2025","Drank","2014","Red","Dry","Red Bordeaux Blend","France"
